Unnamed: 0.1,Unnamed: 0,country,policy,measures,start_year,status,budget_commitment,title_norm,matched_title,match_score,description,iso3
67,67,Malaysia,Electricity Subsidy,Energy affordabilityShow budget lines,2022,In force,10571,electricity subsidy,Electricity Subsidy,100,"<div>The Malaysian government subsidised electricity from 1st July to 31st December 2023 to compensate for the price increase brought by the global energy crisis. The measure targetted domestic consumers with a monthly electricity consumption of 1,500 kWh or below, small and medium enterprises and energy intensive companies.</div>",MYS
68,68,Poland,Solidarity Shield: Law on Emergency measures aiming at limiting electricity price rise and supporting consumers in 2023,Energy affordability,2022,In force,10431,solidarity shield law on emergency measures aiming at limiting electricity price rise and supporting consumers in 2023,Solidarity Shield: Law on Emergency measures aiming at limiting electricity price rise and supporting consumers in 2023,100,"<div>The Polish parliament enacted a law setting maximum electricity prices for eligible customers from 1 December 2022 until 31 December 2023.<br><br>The Solidarity Shield guarantees a maximum price of PLN 693/MWh for households and PLN 785/MWh for SMEs, local governments, public healthcare facilities, and other eligible off-takers. The price cap aims to guarantee a fixed price for a maximum consumption of 2000 kWh for households, 2600 kWh for people with disabilities, 3000 kWh for large families.<br><br>The Solidarity Shield also sets a compensation mechanism (discount) to incentivize energy savings. In 2024, eligible off-takers will receive a 10% of their electricity bill back in case their average consumption in 2023 did not exceed 90% of their average consumption between 1 January 2018 to 31 December 2023. </div>",POL
69,69,United States,Inflation Reduction Act 2022: Sec. 22004 USDA Assistance for Rural Electric CooperativesPart ofInflation Reduction Act of 2022,MultipleShow budget lines,2022,In force,9720,inflation reduction act 2022 sec 22004 usda assistance for rural electric cooperativespart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
70,70,Germany,Tax deductions for building renovationsPart ofClimate Action Programme 2030,Energy efficient retrofits,2021,In force,9700,tax deductions for building renovationspart ofclimate action programme 2030,,84,,
71,71,Malaysia,2022/2023 Increase in Cooking Oil Stabilisation Scheme-related support,MultipleShow budget lines,2022,In force,9556,20222023 increase in cooking oil stabilisation schemerelated support,2022/2023 Increase in Cooking Oil Stabilisation Scheme-related support,100,"<div>In an effort to protect domestic consumers from the effects of the global energy price crisis, the Malaysian government increased its budget dedicated to petroleum product and LPG subsidies as well as to the Cooking Oil Stabilisation Scheme (COSS).</div>",MYS
72,72,Germany,Federal Climate Change Act 2021,Industry EE,2022,In force,9524,federal climate change act 2021,Federal Climate Change Act 2021,100,"<div>The amendment to the Climate Change Act 2021 tightened climate regulations and enshrined in law the goal of achieving greenhouse gas neutrality by 2045. The amendment was made in response to a ruling of the Federal Constitutional Court. With the new climate targets, Germany sets the new EU climate targets at national level, contributes to the wider European ambition to become the first climate neutral continent, and aims at fostering global efforts to reach the goals of the Paris Climate Agreement. <br><br></div><div>The new GHG emission reduction targets set by the Act include: at least -65% by 2030, compared to 1990 levels and at least -88% by 2040, compared to 1990 levels. GHG neutrality by 2045 (2050 previously). From 2050 onwards, the country aims for a negative emission balance. <br><br></div><div>New milestones are set up: </div><div>- Increase annual reduction targets per sector from 2023 to 2030</div><div>- Enshrine annual reduction targets for the period 2031-2040 into law</div><div>- By 2024: determine annual reduction targets by sector for the period 2031-2040</div><div>- By 2032: determine annual reduction targets for the period 2041-2045</div><div>- By 2034: determine annual reduction targets by sector for the  period 2041-2045 to lead to climate neutrality. </div><div> </div><div>The main funding instrument making means for the fulfilment of the climate protection act available is the Energy and Climate Fund (Energie- und Klimafonds).</div><div> </div><div>On 24 June 2021, the German Bundestag passed an amended Federal Climate Change Act. An immediate action programme was also adopted by the Cabinet to support the achievement of these new targets, providing an additional EUR 8 billion for climate protection measures in all sectors between 2022 and 2025. The focus is on measures in the industry, buildings, transport, and energy sectors.</div>",DEU
73,73,United States,Infrastructure and Jobs act: Clean hydrogen initiativesPart ofInfrastructure Investment and Jobs Act,Hydrogen,2022,In force,9500,infrastructure and jobs act clean hydrogen initiativespart ofinfrastructure investment and jobs act,Infrastructure Investment and Jobs Act,100,"<div>The Infrastructure Investment and Jobs Act <strong>(IIJA) -- also known as the Bipartisan Infrastructure Law (BIL) -- </strong>was designed to grow the economy, enhance competitiveness, create new jobs, and build a more sustainable, resilient, and just economy. <br>The legislation adds USD 550 billion in new spending, coupled with the USD 450 billion already committed, to strengthen domestic infrastructure. Of which, around USD 190 billion is attributable to a sustainable recovery.   </div>",USA
74,74,Italy,Automotive Fund 2022-2030,Low-carbon vehiclesShow budget lines,2022,In force,9483,automotive fund 20222030,Automotive Fund 2022-2030,100,"<div>The Italian government launched the ""Automotive Fund"" for low emission vehicles, which allocates consumer subsidies (""auto bonus"") of EUR 700 million for 2022, and EUR 1 billion each year for 2023-2030. Thus, EUR 8.7 billion total resources were allocated by the government until 2030.</div>",ITA
75,75,Peru,Temporary increase in LPG discount voucher value,Clean cooking,2022,Ended,9387,temporary increase in lpg discount voucher value,Temporary increase in LPG discount voucher value,100,"<div>In an effort to shield most vulnerable domestic consumers from the effects of the energy price crisis, the Peruvian government enacted a temporary increase in the value of its discount voucher for the purchase of LPG cylinders, initially from April 2022 to October 2022, and eventually until end 2022. <br><br>The voucher, which applies to the purchase of 10 kg cooking gas cylinders, targets 800,000 low-income households not connected to the national gas network, directly or through soup kitchens. It can also be used by education centres. Its value increases from PEN 20 to PEN 25, an increase financed by the Energy Social Inclusion Fund (FISE).</div>",PER
76,76,Turkiye,2022 Electricity and natural gas consumer support,Energy affordability,2022,In force,9056,2022 electricity and natural gas consumer support,,,,
77,77,Czech Republic,Compensation mechanism for electricity suppliers affected by the electricity price cap,Energy affordability,2023,In force,9010,compensation mechanism for electricity suppliers affected by the electricity price cap,Compensation mechanism for electricity suppliers affected by the electricity price cap,100,"<div>The Czech government enacted a decree providing for the compensation framework mechanism for electricity suppliers affected by the electricity price cap during 2023. The compensation will be paid by the national gas and electricity market operator OTE in case the capped price will not cover the supplier's costs based on wholesale market prices and adequate retail margin, subject to meeting several conditions. </div>",CZE
78,78,India,Self-Reliant India Scheme - Production-Linked Incentive (PLI) SchemePart ofSelf Reliant India Scheme,MultipleShow budget lines,2021,In force,8943,selfreliant india scheme productionlinked incentive pli schemepart ofself reliant india scheme,Self-Reliant India Scheme - Production-Linked Incentive (PLI) Scheme,100,"<div>In the framework of the Atmanirbhar Bharat ('Self-Reliant India') Programme, the Production-Linked Incentive (PLI) schemes aim at enhancing Indian manufacturers' competitiveness, attracting investments in cutting-edge technology, creating efficiencies and economies of scale as well as enhancing exports. <br><br>PLIs for 10 sectors were set up in November 2020, including manufacturing of High Efficiency Solar PV Modules and  Advanced Chemistry Cell (ACC) Battery. The former is to incentivize domestic and global companies to build large-scale domestic solar PV capacity and the latter is to attract investments by large domestic and international firms in the ACC sector.  </div><div> </div><div>Additional amounts were enacted in September 2021, notably for the automobile industry, specifically aiming at encouraging the manufacturing of electric and hydrogen-based vehicles. In September 2022, supplementary amounts were earmarked for the Tranche-II of the Scheme, for High Efficiency Solar PV Modules.<br><br></div><div>This policy also has a digitalization angle, and aims at boosting the production of electronic products in India.</div>",IND
79,79,Netherlands,Stimulation of Sustainable Energy Production and Climate Transition (SDE++),Low-carbon power,2023,In force,8650,stimulation of sustainable energy production and climate transition sde,Stimulation of sustainable energy production and climate transition (SDE++),100,"<div><br><br></div><div>In 2020, the scope of the previous subsidy scheme, SDE+, was broadened from renewable energy production to other CO2 emission reduction measures such as CCS within the SDE ++ scheme.<br><br>The SDE++ is a subsidy scheme targeting technologies related to low carbon power and CO2 sequestration. Only industries, companies and non profit organisations can apply to the programme. </div><div> </div><div>There are five main categories for this scheme: </div><div>1. Renewable electricity (Hydropower, wind, solar...)</div><div>2. Renewable heat (solar thermal, geothermal, biomass combustion…)</div><div>3. Renewable gas (biomass fermentation or gasification)</div><div>4. Low CO2 heat (electric boiler, industrial heat pump…)</div><div>5. Low CO2 production (CCUS, hydrogen…)</div><div> </div><div>The grant is distributed over the span of up to 12 to 15 years, depending on the technology. The funding allocated is computed according to the amount of energy the firm produces or the amount of avoided emissions related to the technology. </div><div> </div><div>In 2020 and 2021, EUR 5 billion grants were available through this programme. </div><div> </div><div>In the 2020 round, the CCUS project in the Port of Amsterdam will contribute to sequester 2.5 million tons of CO2 per year, through a EUR 2.1 billion investment. EUR 2 billion were distributed to solar and wind projects with the rest towards energy efficiency in industry.</div>",NLD
80,80,United States,Infrastructure and Jobs act: NuclearPart ofInfrastructure Investment and Jobs Act,Nuclear,2022,In force,8500,infrastructure and jobs act nuclearpart ofinfrastructure investment and jobs act,Infrastructure Investment and Jobs Act,100,"<div>The Infrastructure Investment and Jobs Act <strong>(IIJA) -- also known as the Bipartisan Infrastructure Law (BIL) -- </strong>was designed to grow the economy, enhance competitiveness, create new jobs, and build a more sustainable, resilient, and just economy. <br>The legislation adds USD 550 billion in new spending, coupled with the USD 450 billion already committed, to strengthen domestic infrastructure. Of which, around USD 190 billion is attributable to a sustainable recovery.   </div>",USA
81,81,Norway,2022 - 2033 National Transport Plan - Urban growth agreement,Urban transit,2022,In force,8322,2022 2033 national transport plan urban growth agreement,2022 - 2033 National Transport Plan - Urban growth agreement,100,"<div>In line with its target to halve the emissions from the transport sector by 2030, compared to 2005 levels, the Norwegian government announced a National Transport Plan for 2022-2033.  </div><div> </div><div>Within this Plan, five new urban growth agreements will be set up in order to reduce GHG emissions, congestion, air pollution and noise in urban areas (the Kristiansand region, Buskerudbyen, Grenland, Nedre Glomma and Tromsø), as a follow-up to existing ones (Fornebubanen in Oslo and Viken, Bybanen in Bergen, Metrobussen in Trondheim and Bussveien in Nord-Jæren). A new subsidy scheme will also target five smaller urban areas.   </div><div> </div><div>Total investment in urban areas nears NOK 80 billion, covering measures for developing public transport, cycling and walking along national, county and municipal roads. </div><div> </div><div>The Government contribution will cover up to 50 percent of the costs in five large public transport projects (so-called 50/50 projects) and a new metro tunnel in the Oslo area, Bybanen to Fyllingsdalen in Bergen, Bussveien in Nord-Jæren and Metrobuss in Trondheim.   </div><div> </div>",NOR
82,82,Spain,2026 Electricity Grid Development Plan,Grids,2022,In force,8290,2026 electricity grid development plan,2026 Electricity Grid Development Plan,100,"<div>The Spanish government approved a 4-year investment plan meant to upgrade the national electricity grid, cater to an increasing domestic power demand and enable the integration of higher shares of renewable generation (which is expected to increase to 67% of national power generation), especially in underprivileged areas.<br><br>The plan aims to upgrade 8,000 km of existing network, build 2,700 km of new transmission lines and establish 700 km of new interconnections under the sea level. <br><br>The government foresees that the plan will generate around 80,000 new jobs, and reduce domestic greenhouse gas emissions by 17 million tons by 2026.</div>",ESP
83,83,United Kingdom,Increase in Energy Bills Support Scheme (EBSS)Part of[3rd package] Cost of living package,Energy affordability,2022,In force,8219,increase in energy bills support scheme ebsspart of3rd package cost of living package,Increase in Energy Bills Support Scheme (EBSS),93.97590361,"<div>As part of its May 2022 Cost of living support package, the UK government enacted a doubling of the support allocated to households via the Energy Bills Support Scheme. Households will get  an additional GBP 200 of support with their energy bills through an expansion of the Energy Bills Support Scheme.</div>",GBR
84,84,United States,Consolidated Appropriations Act,MultipleShow budget lines,2021,In force,8146,consolidated appropriations act,Consolidated Appropriations Act,100,"<div>The bill contains measures to address climate change, such as limiting the use of a potent greenhouse gas in refrigerants and extending tax incentives for wind and solar energy. The bill provides USD 1.4 trillion to fund the US government through September 2021 as well as a USD 900 billion coronavirus aid package. Energy provisions contained in the bill include:</div><div> </div><div>- extending the 26% investment tax credit for solar systems on residential and commercial through 2023 and then continuing with the phasedown to 22% in 2024 and 10% in 2025</div><div>- extending the onshore wind production tax credit by 1 year</div><div>- extending tax credits by two years for fuel cell vehicles, biofuels, and alternative fuel infrastructure</div><div>- extending through 2025 (two additional years) tax credits awarded on a per-ton basis for carbon dioxide that is sequestered</div><div>- providing USD 90 million in grants for replacing older diesel-powered vehicles and equipment with cleaner-burning models, USD 3 million more funding from FY 2020. </div><div>- provisions for mandatory reporting of methane emissions from animal manure</div><div>- allowing the commercial building energy efficiency tax deduction, with the credit indexed to inflation and updated efficiency standards.</div><div>- Requiring US companies to reduce the production of hydrofluorocarbons (HFCs) to 15% of 2012 levels by 2036. </div><div>- extending DOE National Lab funding and increasing total spending by USD 1 billion</div><div>- extending for five years the 9 cents per barrel tax on oil that funds the Oil Spill Liability Trust Fund</div>",USA
85,85,Canada,Clean Technology Manufacturing Investment Tax Credit,MultipleShow budget lines,2023,In force,8001,clean technology manufacturing investment tax credit, Clean Technology Manufacturing Investment Tax Credit ,100,"<div>The Canadian government Clean Technology Manufacturing Investment Tax Credit aims at supporting Canadian companies engaged in manufacturing and processing of clean technologies with  refundable tax credit of 30% of the investment cost for new machinery and equipment used in the production and processing of clean technologies, as well as the extraction, processing, or recycling of critical minerals,  manufacturing of zero-emission vehicles and grid-scale electrical energy storage facilities, manufacturing of renewable or nuclear energy equipment; and processing or recycling of nuclear fuels and heavy water.</div>",CAN
86,86,France,Recovery and resilience plan / Energy renovation of buildings/ Investments in energy renovation of buildingsPart ofRecovery and Resilience plan,Energy efficient retrofits,2021,In force,7924,recovery and resilience plan energy renovation of buildings investments in energy renovation of buildingspart ofrecovery and resilience plan,Recovery and resilience plan / Energy renovation of buildings/ Investments in energy renovation of buildings,100,"<div>As part of the French Resilience and Recovery plan, EUR 6.7 billion were earmarked for measures specifically dedicated to energy upgrades, in an effort to reduce emissions and improve the energy efficiency in buildings. These measures include: </div><div> </div><div>- MaPrimeRénov' programme for private households (2021-2022), to improve buildings, in particular energy upgrades as well as creating jobs in building renovations.</div><div> </div><div>- Upgrading public sector buildings, responsible for 25% of residential emissions in France. Part of the funding will be delegated to regions.</div><div> </div><div>- Energy efficiency upgrades for social housing (notably heating system improvements). </div><div> </div><div>- Energy renovation of SMEs, to improve thermal insulation and energy efficiency. </div><div> </div>",FRA
87,87,France,Property tax exemptionPart ofRecovery and Resilience plan,Energy efficient retrofits,2021,In force,7900,property tax exemptionpart ofrecovery and resilience plan,,71.69811321,,
88,88,Spain,"Recovery, transformation and resilience plan / Urban and rural agenda (I) / Component 2: Housing renovation and urban renewal planPart ofRecovery, transformation and resilience plan / Urban and rural agenda (I) / Component 3: Fight against depopulation and agricultural development",MultipleShow budget lines,2020,In force,7876,recovery transformation and resilience plan urban and rural agenda i component 2 housing renovation and urban renewal planpart ofrecovery transformation and resilience plan urban and rural agenda i component 3 fight against depopulation and agricultural development,"Recovery, transformation and resilience plan",100,"<div>The ""Plan for Recovery, Transformation, Resilience of the Spanish Economy"" is designed around the four transformations: the ecological transition, digital transformation, gender equality and social and territorial cohesion. Some 70% of this  Plan (EUR 70 000 million) will go to the areas of green economy and ecologic transition, notably :     </div><div>  </div><div>Component 1: Sustainable mobility plan (urban and rural agenda) – EUR 6 536 million</div><div>Component 2: Building and housing rehabilitation – EUR 6 820 million   </div><div>Component 6: Sustainable mobility (energy transition ) – EUR 6 667 million - most of this to electric vehicle   </div><div>Component 7: Renewables integration – EUR 3 165 million   </div><div>Component 8: Electric infrastructure, smart grids, flexibility and storage – EUR 1 365 million   </div><div>Component 9: Green hydrogen – EUR 1 555 million   </div><div>Component 10: Fair transition – EUR 300 million</div>",ESP
89,89,Germany,1st Relief Package,Energy affordability,2022,Ended,7857,1st relief package,1st Relief Package,100,"<div>First relief package of emergency measures agaist rising energy prices were announced by coalition on 23 February 2022 as part of “10 relief measures for Germany”. These included:<br><br></div><ul><li><strong>EEG levy abolition brought 6 month early. </strong>The EEG levy (3.72 cents per kilowatt hour) aims to make renewable-based electricity generation more competitive by charging consumers the difference between the spot price of renewable electricity and the marginal cost of electricity production. The federal government had initially planned to remove this levy from consumers and absorb the cost through the federal budget from 01/01/2023, but now this will be brought forward to 01/07/2022.</li><li><strong>Heating cost subsidy for the vulnerable. </strong>One-time subsidy for people on housing benefits receive EUR 270 (in a household with two people: EUR 350, each additional family member an additional EUR 70). Apprentices and students receiving student loans 230 euros.</li><li><strong>Increase in tax-free mileage allowance.</strong> For business travel over 21 km, EUR 0.38 per km is tax deductible from commuter fee paid by employer. The mobility premium also rises accordingly.</li></ul><div><br>Measures were promulgated on various dates through different channels such as the 2022 Tax Relief Act (Steuerentlastungsgesetz 2022), the Fourth Coronavirus Tax Assistance Act, and the 2022 Federal Supplementary Budget. In the 2023 Federal Budget, the Ministry of Finance announced that almost the entirety of the package budget has been disbursed.</div>",DEU
90,90,United States,Inflation Reduction Act 2022: Sec. 13204 Clean HydrogenPart ofInflation Reduction Act of 2022,Hydrogen,2022,In force,7850,inflation reduction act 2022 sec 13204 clean hydrogenpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
91,91,Spain,"Recovery, transformation and resilience plan / Urban and rural agenda (I) / Component 1: Action plan for sustainable, safe and connected mobility in urban and metropolitan areasPart ofRecovery, transformation and resilience plan / Urban and rural agenda (I) / Component 3: Fight against depopulation and agricultural development",MultipleShow budget lines,2020,In force,7799,recovery transformation and resilience plan urban and rural agenda i component 1 action plan for sustainable safe and connected mobility in urban and metropolitan areaspart ofrecovery transformation and resilience plan urban and rural agenda i component 3 fight against depopulation and agricultural development,"Recovery, transformation and resilience plan",100,"<div>The ""Plan for Recovery, Transformation, Resilience of the Spanish Economy"" is designed around the four transformations: the ecological transition, digital transformation, gender equality and social and territorial cohesion. Some 70% of this  Plan (EUR 70 000 million) will go to the areas of green economy and ecologic transition, notably :     </div><div>  </div><div>Component 1: Sustainable mobility plan (urban and rural agenda) – EUR 6 536 million</div><div>Component 2: Building and housing rehabilitation – EUR 6 820 million   </div><div>Component 6: Sustainable mobility (energy transition ) – EUR 6 667 million - most of this to electric vehicle   </div><div>Component 7: Renewables integration – EUR 3 165 million   </div><div>Component 8: Electric infrastructure, smart grids, flexibility and storage – EUR 1 365 million   </div><div>Component 9: Green hydrogen – EUR 1 555 million   </div><div>Component 10: Fair transition – EUR 300 million</div>",ESP
92,92,Korea,"Korean New Deal 10 key projects ��� Green energyPart ofKorean New Deal - Digital New Deal, Green New Deal and Stronger Safety Net",Low-carbon power,2020,In force,7795,korean new deal 10 key projects green energypart ofkorean new deal digital new deal green new deal and stronger safety net,"Korean New Deal - Digital New Deal, Green New Deal and Stronger Safety Net",100,"<div>The Korean New Deal, announced in Korean on July 14 2020, plans to invest total 160 trillion won (114.1 trillion won worth of fiscal investment) to create 1,901,000 jobs by 2025. The Korean New Deal aims to transform the economy to make it greener, with more digital services and stronger safety nets, implemented through fiscal support for pump priming and improved regulations to promote the private sector. </div>

<div> </div>

<div>Directly related to energy: </div>

<div><strong>Green New Deal</strong>: 73.4 trillion won (42.7 trillion won from the Treasury) will be invested. With the aim to strengthen climate action and realize a green economy, investment will focus on green infrastructures, renewable energy, and fostering green industry.  </div>

<div> </div>

<div>More details include: </div>

<div>Investment of 30.1 trillion won will be made by 2025 to create 387,000 jobs.</div>

<ul>
 <ul>
  <li>Pursue eco-friendly infrastructure and renewable energy production:  Work to achieve the 2030 greenhouse gas emission reduction target and RE3020</li>
  <li>Green transition of infrastructure: Remodel public buildings and schools</li>
  <li>Promote low-carbon and decentralized energy:  Build smart grids, and promote distributed energy production and eco-friendly vehicles by expanding supply of electric and hydrogen vehicles</li>
  <li>Promote innovation in green industries:  Provide technology development support for environment and energy SMEs, build a green industrial cluster to help with technology development, testing, production and marketing, and create about 215 billion won worth of public-private joint funds to grow green businesses, as well as make 1.9 trillion won worth of loans available for businesses investing in environment protection tools and facilities</li>
 </ul>
</ul>

<div> </div>

<div> </div>

<div>- <strong>Other parts of three pillars, but not related to energy directly</strong></div>

<div> </div>

<div><strong>Digital New Deal</strong>: 58.2 trillion won (44.8 trillion won from the Treasury) will be invested. With the aim to accelerate the transition towards a digital economy, investment will focus on the integration of data, network and AI (DNA) throughout the economy. </div>

<div> </div>

<div>Relevant projects:</div>

<ul>
 <ul>
  <li>Data dam: Increase big data platforms acorss industries, open up public data, and promote industrial convergence between digital contents and 5G</li>
  <li>AI government: Adopt 5G and blockchain technology to public services to make public services 100% digital</li>
  <li>Smart heathcare: Invest in 18 hospitals to equip with 5G and IoT so that they provide real time monitoring and cooperation between medical institutions, and develop softwares to diagnose 12 diseases, such as lung cancer, diabetes etc.</li>
  <li>Digital twins: Create high-resolution 3D maps for the country and build smart management systems for old underground public utilites facilities</li>
  <li>Digital SOC: Adopt C-ITS to major routes, install IoT sensors on railroads and build 4th generation wireless networks for railway</li>
 </ul>
</ul>

<div> </div>

<div> </div>

<div><strong>Stronger Safety Net</strong>: 28.4 trillion won (26.6 trillion won from the Treasury) will be invested. </div>

<ul>
 <ul>
  <li>Invest in employment security and social security programs to expand the coverage</li>
  <li>Increase investment in digital and green workforce training programs, improve vocational training programs to adequately equip with skills for the future and expand internet excess in rural areas</li>
 </ul>
</ul>",KOR
93,93,Denmark,Green fund to investment in clean technologies,General (No selection appropriate)Show budget lines,2024,In force,7765,green fund to investment in clean technologies,Green fund to investment in clean technologies,100,"<div>In 2022, the government launched a green fund to accelerate Denmark's green transition and in the phasing out of fossil fuels. Overall, DKK 53.5 billion is set aside for investments, with DKK 1.5 billion pledged for 2024 and DKK 3.5 billion annually from 2024-2040.<br>To be eligible, projects need to be related to energy and supply, food and agriculture, buildings and infrastructure, materials and resources or transport and mobility. </div>",DNK
94,94,Canada,Net Zero Accelerator InitiativePart ofStrategic Innovation Fund,MultipleShow budget lines,2020,In force,7753,net zero accelerator initiativepart ofstrategic innovation fund,,78.43137255,,
95,95,France,Recovery and resilience Plan/Hydrogen PlanPart ofRecovery and Resilience plan,HydrogenShow budget lines,2020,In force,7691,recovery and resilience planhydrogen planpart ofrecovery and resilience plan,Recovery and resilience Plan/Hydrogen Plan,100,"<div>As part of its Recovery and Resilience Plan, the French government is putting forward its hydrogen strategy.  </div><div><br>Three priorities are listed: <br>1. Diminishing GHG emissions for the industry <br>2. Developing heavy hydrogen industry <br>3. Supporting R&amp;D for training. The aim is to scale at industry-level to reduce production and technology costs.   </div><div> </div><div>The plan is expected to create 50,000 to 100,000 jobs by 2030.  </div><div> </div>",FRA
96,96,Austria,Energy cost subsidy 1 & 2 and lump sum subsidy model,Energy affordabilityShow budget lines,2022,In force,7678,energy cost subsidy 1 2 and lump sum subsidy model,Energy cost subsidy 1 & 2 and lump sum subsidy model,100,"<div>The Energy Cost Subsidy 1 &amp; 2 (ECS 1 &amp; 2) and lump-sum subsidy model  aimed to cushion the increase in prices for electricity, natural gas and fuels, for companies and commercial associations to support local economy and businesses. ECS 1 and 2 were introduced in 2022 and 2023 respectively. <br><br>The schemes differentiated the amount of subsidies to the companies based on their energy intensity.  Compared to the ECS 1, ECS 2 allowed in-principle higher subsidies and subsidy intensities in the individual stages and made additional types of energy eligible for subsidies. A lump sum subsidy model was also created to cater to micro and small enterprises whose support was below the lower funding limit of the ECS. Companies not eligible for support include energy-producing and mineral oil-processing companies or primary agricultural and forestry production<br><br>In total, 2022-2023 budgetary for ECS 1, ECS 2 and the lump-sum subsidy model amounted to a maximum of €7.0 billion.</div>",AUT
97,97,United Arab Emirates,Inflation Subsidies,Energy affordability,2022,In force,7624,inflation subsidies,Inflation Subsidies  ,100,<div>The UAE Ministry of Community Development launched a variable monthly subsidy to support low-income Emirati households in the context of rising prices of fuel and electricity. <br><br></div>,ARE
98,98,United States,Inflation Reduction Act 2022: Sec. 13401 Clean Vehicle CreditPart ofInflation Reduction Act of 2022,Electric passenger cars,2022,In force,7540,inflation reduction act 2022 sec 13401 clean vehicle creditpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
99,99,United States,Infrastructure and Jobs act: Nationwide network of EV chargersPart ofInfrastructure Investment and Jobs Act,Charging infrastructure,2021,In force,7500,infrastructure and jobs act nationwide network of ev chargerspart ofinfrastructure investment and jobs act,Infrastructure Investment and Jobs Act,100,"<div>The Infrastructure Investment and Jobs Act <strong>(IIJA) -- also known as the Bipartisan Infrastructure Law (BIL) -- </strong>was designed to grow the economy, enhance competitiveness, create new jobs, and build a more sustainable, resilient, and just economy. <br>The legislation adds USD 550 billion in new spending, coupled with the USD 450 billion already committed, to strengthen domestic infrastructure. Of which, around USD 190 billion is attributable to a sustainable recovery.   </div>",USA
100,100,Japan,Green Innovation Fund - HydrogenPart ofGreen Innovation Fund,MultipleShow budget lines,2021,In force,7477,green innovation fund hydrogenpart ofgreen innovation fund,Green Innovation Fund,100,"In March 2021, Japan's New Energy and Industrial technology Development Organisation set up the Green Innovation Fund, worth up to 2 trillion yen ($19.2 billion), to implement ambitious green projects over the next decade as part of additional stimulus measures in response to COVID-19. A further top up of 300 billion yen and 456.4 billion yen was made available in FY2022 and FY2023 respectively. The fund focuses on R&amp;D, demonstration and social implementation across energy related industries, transportation and manufacturing-related industries as well as home and office related industries. The related energy related sectors include: - Offshore wind power, solar power, geothermal power - Hydrogen and fuel ammonia - Next generation heat energy - Nuclear power - Automobiles and storage batteries - Semiconductors and information and communication - Shipping - Aircraft - Carbon recycling and materials - Housing and building and next generation power management The fund also considers other sectors such as logistics, people flows and civil engineering infrastructure, resource circulation and lifestyle-related. This includes regular monitoring and a system that allows companies to access more funds if they meet interim targets successfully. 

In 2023 and 2024, calls were announced in emerging technology areas, including floating wind, perovskite solar PV, ammonia-fuelled ships, hydrogen use in steelmaking, next-generation aircraft and next-generation motors.",JPN
